Year,Month,Temperature,Rainfall,CO2,Humidity,WindSpeed
2010,1,12.42,3.0,390.72,37.90,7.31
2010,2,12.23,10.0,390.71,49.28,10.73
2010,3,16.53,36.0,388.76,54.67,8.25
2010,4,19.77,3.0,388.78,44.40,9.56
2010,5,23.2,40.0,388.58,51.26,7.49
2010,6,,26.0,389.76,64.01,9.41
2010,7,30.85,9.0,390.93,57.76,7.75
2010,8,28.52,2.0,390.59,51.88,9.13
2010,9,25.52,11.0,389.15,54.96,9.43
2010,10,21.79,8.0,388.78,41.68,8.58
2010,11,15.79,24.0,390.31,44.89,7.20
2010,12,14.92,31.0,390.11,54.30,8.29
2011,1,13.57,26.0,391.04,55.28,8.06
2011,2,12.53,25.0,392.53,55.13,10.88
2011,3,16.76,4.0,392.78,48.91,9.66
2011,4,20.97,7.0,393.37,48.87,5.98
2011,5,25.25,26.0,391.63,54.50,6.21
2011,6,28.56,15.0,391.29,57.79,7.96
2011,7,30.72,9.0,392.91,53.89,9.82
2011,8,30.7,0.0,392.63,49.97,8.29
2011,9,25.16,,391.29,51.40,5.97
2011,10,20.79,37.0,391.46,52.69,9.06
2011,11,16.62,5.0,391.49,48.40,7.75
2011,12,12.75,22.0,392.0,54.60,9.97
2012,1,11.0,38.0,395.73,50.25,8.59
2012,2,12.74,33.0,394.29,56.27,10.97
2012,3,17.54,31.0,393.53,54.83,9.89
2012,4,19.22,37.0,394.72,59.84,5.71
2012,5,25.04,29.0,395.79,51.31,6.38
2012,6,28.0,6.0,396.09,50.98,5.59
2012,7,30.21,23.0,393.37,60.91,9.24
2012,8,28.94,0.0,393.56,44.50,8.47
2012,9,25.28,29.0,394.89,60.78,5.86
2012,10,20.95,40.0,396.09,60.25,9.73
2012,11,17.39,37.0,395.68,59.46,9.42
2012,12,12.83,9.0,395.15,44.56,8.33
2013,1,12.56,19.0,397.71,49.28,10.66
2013,2,12.97,20.0,396.7,49.87,10.30
2013,3,16.31,18.0,398.32,51.09,8.72
2013,4,21.24,34.0,398.14,53.04,6.47
2013,5,25.56,21.0,397.93,47.21,5.68
2013,6,28.47,4.0,395.86,48.03,8.77
2013,7,32.24,26.0,398.26,59.83,7.23
2013,8,31.72,0.0,397.2,53.70,8.09
2013,9,26.42,9.0,398.19,55.88,8.45
2013,10,22.59,21.0,396.12,48.25,6.74
2013,11,16.67,38.0,398.24,52.56,7.70
2013,12,13.21,33.0,397.85,50.59,9.43
2014,1,14.03,36.0,400.0,61.02,8.30
2014,2,12.49,32.0,400.54,57.97,10.72
2014,3,15.6,35.0,,60.52,8.24
2014,4,20.37,15.0,400.49,43.74,9.08
2014,5,25.37,14.0,399.84,50.40,6.43
2014,6,28.3,15.0,399.01,57.95,8.30
2014,7,31.65,0.0,398.44,50.17,7.18
2014,8,29.29,0.0,399.46,52.83,7.56
2014,9,25.79,16.0,397.72,52.63,7.67
2014,10,22.22,5.0,398.39,46.79,9.04
2014,11,18.82,23.0,397.91,45.23,5.76
2014,12,13.81,33.0,398.34,53.50,7.11
2015,1,11.65,38.0,401.73,51.85,7.09
2015,2,12.98,32.0,402.42,58.67,8.07
2015,3,15.82,8.0,401.98,46.67,8.55
2015,4,20.31,28.0,401.4,50.84,9.86
2015,5,25.44,8.0,400.18,42.70,9.17
2015,6,29.43,0.0,400.75,48.16,9.25
2015,7,30.82,20.0,400.42,52.73,6.04
2015,8,29.8,21.0,400.75,57.31,9.77
2015,9,28.02,30.0,402.42,57.02,7.38
2015,10,22.82,8.0,400.15,49.12,8.00
2015,11,19.25,2.0,402.91,39.20,9.08
2015,12,16.03,17.0,400.5,54.19,8.50
2016,1,12.86,15.0,404.89,43.70,9.26
2016,2,15.11,12.0,403.44,48.09,7.83
2016,3,18.36,18.0,405.08,44.28,6.21
2016,4,21.76,20.0,403.57,47.17,7.82
2016,5,26.27,37.0,404.29,49.19,8.59
2016,6,28.86,4.0,403.19,51.60,8.77
2016,7,33.31,29.0,404.51,58.27,7.00
2016,8,29.58,12.0,402.47,54.01,8.42
2016,9,27.15,34.0,405.06,60.22,9.16
2016,10,21.99,5.0,405.18,47.79,9.66
2016,11,16.64,13.0,402.51,41.39,8.44
2016,12,13.6,17.0,403.51,50.73,9.70
2017,1,14.37,38.0,405.34,50.20,7.47
2017,2,14.33,7.0,405.86,50.16,10.94
2017,3,17.3,35.0,405.55,53.84,8.62
2017,4,20.33,22.0,405.32,54.20,6.20
2017,5,24.74,21.0,405.97,53.78,8.08
2017,6,30.34,0.0,404.63,45.72,7.78
2017,7,32.41,28.0,407.59,59.12,9.89
2017,8,29.77,5.0,406.12,50.17,6.31
2017,9,25.95,24.0,407.24,61.78,7.16
2017,10,23.19,25.0,405.45,52.11,8.75
2017,11,17.86,36.0,406.71,59.47,8.20
2017,12,15.39,35.0,404.62,50.30,10.18
2018,1,14.15,21.0,409.7,54.26,6.71
2018,2,13.01,10.0,407.69,44.83,7.65
2018,3,18.37,37.0,407.37,61.08,8.96
2018,4,20.55,15.0,409.05,50.93,7.31
2018,5,24.31,18.0,408.42,49.90,7.64
2018,6,28.45,0.0,407.18,53.85,8.94
2018,7,31.97,9.0,407.03,52.60,10.09
2018,8,30.7,0.0,408.81,47.10,6.60
2018,9,26.49,30.0,408.56,57.31,7.38
2018,10,21.98,2.0,407.24,44.89,9.24
2018,11,19.54,11.0,408.54,51.70,7.08
2018,12,16.2,39.0,408.56,60.98,8.27
2019,1,13.14,4.0,410.12,42.80,7.63
2019,2,15.55,4.0,411.9,49.31,10.70
2019,3,16.48,17.0,411.2,47.04,8.65
2019,4,20.91,37.0,411.85,50.20,7.06
2019,5,25.07,11.0,411.98,43.82,5.84
2019,6,28.56,2.0,412.13,55.43,7.98
2019,7,33.28,18.0,409.27,50.50,9.91
2019,8,32.06,13.0,411.55,52.73,7.16
2019,9,27.09,17.0,410.0,50.93,7.73
2019,10,23.21,8.0,410.35,41.83,8.24
2019,11,16.97,32.0,409.87,56.75,9.48
2019,12,16.3,31.0,410.25,49.20,7.56
2020,1,14.46,16.0,412.17,48.21,8.15
2020,2,14.98,27.0,412.48,57.28,9.26
2020,3,18.59,19.0,412.55,43.79,8.02
2020,4,21.53,36.0,412.49,55.78,9.60
2020,5,24.08,18.0,412.04,42.33,8.58
2020,6,30.89,8.0,411.61,52.19,7.06
2020,7,32.79,14.0,413.69,48.44,9.56
2020,8,30.94,30.0,414.45,54.14,7.25
2020,9,26.35,38.0,412.07,60.96,9.39
2020,10,21.13,29.0,411.51,52.17,6.83
2020,11,19.78,36.0,413.56,52.09,9.40
2020,12,16.82,14.0,412.59,42.55,9.89
2021,1,12.36,23.0,415.67,45.97,10.55
2021,2,15.14,9.0,415.96,42.42,8.46
2021,3,17.05,21.0,415.8,54.69,9.62
2021,4,21.13,20.0,415.46,50.41,8.47
2021,5,24.73,26.0,415.83,56.68,6.34
2021,6,30.86,28.0,414.7,55.23,8.80
2021,7,32.79,0.0,414.71,48.12,6.91
2021,8,30.78,29.0,415.62,58.16,6.65
2021,9,27.12,30.0,415.13,54.16,9.45
2021,10,21.79,32.0,416.18,52.19,5.57
2021,11,20.03,12.0,415.78,51.24,9.31
2021,12,15.0,23.0,414.08,45.14,9.76
2022,1,15.16,17.0,418.12,50.18,10.30
2022,2,13.97,14.0,416.54,45.82,9.59
2022,3,16.44,32.0,417.93,54.80,8.30
2022,4,22.61,31.0,417.34,51.45,6.46
2022,5,26.19,14.0,418.26,44.72,9.73
2022,6,29.45,17.0,416.83,56.11,8.31
2022,7,33.27,0.0,418.78,54.33,9.51
2022,8,32.88,0.0,418.44,49.61,9.34
2022,9,26.96,35.0,417.49,56.29,8.08
2022,10,22.97,9.0,417.47,42.27,9.34
2022,11,19.7,35.0,419.06,55.15,7.26
2022,12,16.09,30.0,417.94,58.75,9.93
2023,1,14.61,34.0,419.68,53.31,8.07
2023,2,16.17,30.0,421.09,48.34,10.38
2023,3,18.68,32.0,419.75,55.12,8.30
2023,4,22.71,19.0,420.7,42.95,9.06
2023,5,26.01,17.0,419.22,50.09,8.59
2023,6,28.68,10.0,419.1,56.52,6.21
2023,7,32.46,26.0,418.64,59.64,6.77
2023,8,30.9,16.0,420.48,54.09,9.79
2023,9,28.57,6.0,419.64,57.38,8.09
2023,10,22.44,31.0,419.65,54.81,7.93
2023,11,18.07,28.0,419.57,56.76,8.72
2023,12,16.76,3.0,420.97,38.29,7.10
2024,1,14.9,26.0,422.13,47.51,8.34
2024,2,16.43,21.0,422.96,43.80,8.61
2024,3,19.16,28.0,422.31,50.63,8.59
2024,4,22.8,40.0,423.39,61.11,5.87
2024,5,26.06,19.0,422.01,45.51,6.85
2024,6,28.69,13.0,422.71,59.02,6.09
2024,7,33.99,2.0,423.22,55.53,6.87
2024,8,33.36,26.0,420.78,52.45,9.60
2024,9,27.78,38.0,422.69,61.84,6.90
2024,10,21.85,29.0,421.11,53.23,8.33
2024,11,18.99,5.0,421.48,47.46,5.90
2024,12,15.58,31.0,421.68,50.19,8.20
2010,11,15.79,24.0,390.31,52.65,9.91
