Year,Month,Temperature,Rainfall,CO2,Humidity,WindSpeed
2018,1,14.2,32,405,50.30,7.42
2018,2,15.1,28,406,53.68,7.72
2018,3,18.4,20,407,54.53,10.07
2018,4,22.0,15,409,45.27,6.51
2018,5,26.3,10,411,41.13,6.25
2018,6,30.1,5,412,45.71,7.51
2018,7,33.4,2,413,46.57,8.30
2018,8,32.0,3,414,51.60,9.35
2018,9,28.5,8,415,46.39,8.22
2018,10,23.2,18,416,53.97,7.30
2018,11,18.0,25,417,54.69,8.24
2018,12,15.0,30,418,49.07,10.14
2018,12,15.0,30,418,55.06,9.98
2019,1,14.5,31,412,57.32,6.72
2019,2,15.8,27,413,46.99,10.53
2019,3,19.2,21,414,48.22,6.77
2019,4,23.1,13,416,49.97,6.65
2019,5,27.0,9,418,46.57,8.71
2019,6,30.5,6,419,48.89,7.70
2019,7,34.0,2,420,48.00,9.53
2019,8,33.2,3,421,52.23,9.76
2019,9,29.1,9,422,56.97,8.02
2019,10,24.0,17,423,47.77,9.04
2019,11,18.7,26,424,47.61,7.16
2019,12,15.2,32,425,55.65,6.96
2020,1,15.0,35,419,59.31,8.71
2020,2,16.2,,420,52.36,10.48
2020,3,20.1,18,,52.71,8.85
2020,4,24.0,12,423,45.76,5.35
2020,5,28.4,8,425,43.68,7.14
2020,6,31.0,4,426,45.33,8.85
2020,7,35.0,1,427,43.53,6.25
2020,8,34.5,2,428,44.60,7.30
2020,9,30.0,7,429,50.90,7.51
2020,10,25.1,16,430,44.32,5.39
2020,11,19.2,24,431,52.24,8.46
2020,12,15.8,33,432,57.69,8.55
2021,1,15.3,34,426,53.77,6.87
2021,2,16.6,28,427,57.01,8.91
2021,3,N/A,21,428,46.00,9.52
2021,4,24.8,11,430,44.41,8.14
2021,5,29.1,7,432,46.96,6.46
2021,6,31.7,4,433,49.19,8.71
2021,7,50.5,1,434,42.79,11.00
2021,8,35.0,2,435,54.17,6.56
2021,9,30.5,6,436,48.65,10.04
2021,10,25.8,15,437,42.49,8.64
2021,11,19.8,23,438,52.87,8.83
2021,12,16.1,31,439,55.38,6.46
2022,0,15.7,33,433,57.80,8.05
2022,2,17.1,26,434,48.72,10.17
2022,3,21.0,19,435,47.50,5.94
2022,4,25.4,-10,437,36.10,8.42
2022,5,30.0,6,439,45.08,6.12
2022,6,32.5,3,440,45.36,8.54
2022,7,36.2,1,441,43.11,7.41
2022,8,35.6,2,442,52.24,9.62
2022,9,31.0,5,443,55.39,7.51
2022,10,26.2,14,444,47.29,8.64
2022,11,20.0,22,445,53.55,9.77
2022,13,16.5,30,446,51.00,7.77
2023,1,16.0,32,447,50.07,9.95
2023,2,17.4,25,448,49.76,8.53
2023,3,21.6,18,449,50.47,7.12
2023,4,26.0,9,451,43.73,8.87
2023,5,30.8,5,453,39.57,7.19
2023,6,33.1,3,454,51.98,9.93
2023,7,37.0,1,999,53.48,7.08
2023,8,??,2,456,51.24,8.44
2023,9,31.5,4,457,47.07,7.30
2023,10,26.8,error,458,45.29,5.95
2023,11,20.5,21,459,43.32,8.36
2023,12, 16.9 ,29,460,53.47,7.70
