Year,Month,Temperature,Rainfall,CO2,Humidity,WindSpeed
2010,1,-24.45,0.0,390,50.78,12.72
2010,1,-28.30,0.0,390.2,48.67,10.48
2010,1,-24.15,0.0,390.4,40.01,11.68
2010,1,-18.35,1.5,390.6,48.45,12.66
2010,1,-15.00,0.0,390.8,43.44,10.12
2010,1,-15.25,0.0,391.0,48.11,9.66
2010,1,-21.40,0.0,391.2,43.62,13.21
2010,1,-28.05,0.0,391.4,45.08,12.53
2010,1,-27.75,0.0,391.6,41.60,11.97
2010,1,-18.05,0.0,391.8,45.60,10.65
2010,1,-9.75,0.0,392.0,48.64,9.92
2010,1,-10.00,0.0,392.2,44.33,9.10
2010,1,-5.30,0.0,392.4,47.22,8.58
2010,1,-1.65,0.0,392.6,44.99,8.30
2010,1,-6.95,0.0,392.8,48.18,11.63
2010,1,-1.40,0.0,393.0,39.31,8.19
2010,1,-0.55,0.0,393.2,38.42,10.08
2010,1,-8.30,0.0,393.4,46.70,10.23
2010,1,-11.95,0.0,393.6,50.50,8.55
2010,1,-10.30,0.0,393.8,47.02,11.23
2010,1,-8.05,2.5,394.0,43.84,11.73
2010,1,-5.55,0.0,394.2,44.97,10.93
2010,1,-2.50,0.0,394.4,40.79,10.60
2010,1,-0.55,0.0,394.6,46.96,8.00
2010,1,-8.60,0.0,394.8,46.64,12.39
2010,1,-19.70,0.0,395.0,41.78,9.74
2010,1,-19.45,0.0,395.2,39.33,9.41
2010,1,-22.50,0.0,395.4,40.10,10.79
2010,1,-23.60,0.0,395.6,42.70,13.60
2010,1,-21.95,0.0,395.8,40.71,9.35
2010,1,-21.10,0.0,396.0,48.87,12.03
