Year,Month,Temperature,Rainfall,CO2,Humidity,WindSpeed
2017,1,16.98,35.63,394.99,44.25,10.39
2017,2,18.9,57.3,394.99,49.81,4.74
2017,3,17.36,47.63,395.08,43.57,9.7
2017,4,21.31,40.51,395.53,60.66,4.55
2017,5,24.81,52.45,395.5,42.35,12.16
2017,6,23.19,45.32,395.48,71.73,9.33
2017,7,28.15,61.24,395.86,75.25,7.53
2017,8,24.7,63.74,396.03,72.13,9.12
2017,9,24.1,36.15,395.92,46.1,5.14
2017,10,19.13,37.53,396.07,55.8,7.42
2017,11,18.42,40.24,396.18,64.23,9.68
2017,12,18.43,39.28,396.58,42.58,7.54
2018,1,19.43,51.0,397.75,57.17,11.24
2018,2,19.6,40.73,397.56,46.83,6.64
2018,3,17.31,58.57,398.19,46.81,9.74
2018,4,20.27,57.86,398.06,45.42,6.47
2018,5,23.1,41.57,398.25,63.14,7.7
2018,6,22.37,67.94,398.33,50.55,4.88
2018,7,23.27,58.69,398.62,59.82,5.01
2018,8,23.5,67.9,398.58,75.19,11.39
2018,9,19.25,53.02,398.79,53.04,6.63
2018,10,21.99,37.79,398.76,50.7,12.13
2018,11,21.96,41.58,398.92,43.0,11.8
2018,12,20.26,42.46,399.12,55.05,5.72
2019,1,17.84,48.48,400.49,52.85,4.5
2019,2,16.44,35.49,400.7,62.6,11.15
2019,3,17.99,36.45,400.79,64.51,5.19
2019,4,20.9,36.73,400.84,59.44,5.53
2019,5,22.49,48.75,400.66,62.43,7.89
2019,6,22.32,56.48,401.06,53.63,6.99
2019,7,29.47,59.25,401.0,62.49,5.47
2019,8,22.41,51.45,401.21,54.44,6.26
2019,9,19.66,50.78,401.12,63.35,11.38
2019,10,18.0,40.95,401.5,44.0,5.56
2019,11,22.38,49.28,401.5,59.97,10.96
2019,12,15.5,37.42,401.6,49.86,8.24
2020,1,17.6,51.83,403.21,40.76,7.72
2020,2,16.54,56.54,402.89,43.33,8.09
2020,3,18.79,41.96,403.01,63.85,8.05
2020,4,23.53,48.76,403.01,65.98,11.19
2020,5,25.95,58.16,403.61,42.66,8.39
2020,6,22.33,53.03,403.26,58.61,12.38
2020,7,24.36,62.6,403.61,59.84,12.16
2020,8,27.8,56.89,403.89,52.33,6.87
2020,9,25.95,49.48,403.91,58.94,4.96
2020,10,21.59,47.57,404.21,42.41,12.19
2020,11,16.39,39.65,404.18,56.91,6.38
2020,12,15.01,57.26,404.09,54.65,9.46
2021,1,15.43,49.59,405.53,64.17,6.13
2021,2,19.18,40.97,405.58,56.81,6.9
2021,3,18.05,53.8,405.5,50.83,12.49
2021,4,24.47,36.83,405.71,45.43,11.97
2021,5,25.33,56.98,405.92,42.42,11.17
2021,6,25.76,58.29,406.41,66.31,4.56
2021,7,28.22,50.48,406.34,74.29,5.57
2021,8,21.64,45.68,406.39,55.63,9.34
2021,9,24.19,40.09,406.56,45.39,8.41
2021,10,23.84,56.15,406.36,49.86,6.71
2021,11,15.86,54.28,406.8,45.33,10.43
2021,12,18.03,45.69,406.55,40.11,11.56
2022,1,18.83,48.64,408.32,54.31,5.68
2022,2,15.06,42.71,408.48,60.29,11.39
2022,3,22.13,40.25,408.21,40.88,10.74
2022,4,23.69,45.16,408.55,42.33,11.94
2022,5,25.22,59.41,408.79,62.68,4.7
2022,6,25.99,51.3,408.98,70.46,11.41
2022,7,28.18,49.67,409.01,51.03,11.48
2022,8,26.84,48.56,409.15,60.89,6.94
2022,9,24.73,40.69,408.79,43.41,7.13
2022,10,23.55,59.17,409.07,55.96,7.7
2022,11,22.7,48.41,409.58,41.23,12.26
2022,12,15.42,59.06,409.3,41.04,7.98
2023,1,17.6,42.84,410.78,52.32,7.58
2023,2,18.2,41.37,410.97,38.05,11.9
2023,3,19.6,52.99,411.11,56.78,7.41
2023,4,17.99,51.61,410.98,46.79,11.28
2023,5,24.2,42.51,411.09,49.44,7.72
2023,6,22.9,46.18,411.27,74.33,9.92
2023,7,28.82,58.39,411.32,63.34,4.5
2023,8,22.84,53.75,411.61,66.33,8.22
2023,9,22.26,40.34,411.66,63.23,10.87
2023,10,18.69,37.12,411.81,55.72,7.18
2023,11,21.56,53.78,412.02,44.29,6.09
2023,12,14.34,41.12,412.03,61.79,5.08
2024,1,15.4,50.74,413.14,57.5,8.46
2024,2,15.87,51.4,413.14,59.03,10.66
2024,3,16.58,45.63,413.37,64.82,8.64
2024,4,17.85,41.23,413.89,50.78,10.91
2024,5,23.84,59.7,413.86,64.6,11.63
2024,6,25.12,60.98,413.92,71.26,8.88
2024,7,28.78,61.59,414.02,55.26,6.48
2024,8,25.3,62.15,414.17,65.55,6.7
2024,9,19.71,42.14,414.14,46.95,8.82
2024,10,18.47,40.78,414.52,57.78,5.01
2024,11,18.69,48.57,414.47,43.79,7.86
2024,12,20.5,49.6,414.76,61.99,10.62
2025,1,15.16,35.15,415.83,59.1,11.33
2025,2,20.84,45.48,416.19,53.29,9.33
2025,3,17.38,40.49,416.12,38.81,7.19
2025,4,22.25,45.11,416.08,51.09,5.52
2025,5,23.52,35.67,416.34,53.8,4.72
2025,6,25.33,46.39,416.5,49.41,7.53
2025,7,23.98,51.17,416.8,58.62,10.52
2025,8,26.66,49.31,416.51,48.54,8.82
2025,9,26.17,43.75,416.97,59.87,9.71
2025,10,22.78,58.74,416.82,38.57,5.72
2025,11,16.72,51.74,417.16,44.1,10.1
2025,12,19.53,39.19,417.3,58.94,5.42
