Year,Month,Temperature,Rainfall,CO2,Humidity,WindSpeed
2015,1,23.79,58.59,391.91,54.59,9.81
2015,2,23.99,58.33,392.17,70.45,7.68
2015,3,25.07,45.09,392.13,71.77,14.65
2015,4,25.56,24.84,392.68,72.0,10.12
2015,5,25.6,34.82,392.55,61.85,14.65
2015,6,28.81,24.22,392.89,68.62,14.46
2015,7,29.16,37.42,392.89,76.21,9.43
2015,8,28.73,41.53,392.87,64.02,13.58
2015,9,24.7,72.07,393.16,55.99,14.93
2015,10,23.57,56.59,393.16,62.72,7.26
2015,11,25.97,45.27,393.07,72.35,10.06
2015,12,25.13,48.05,393.21,54.23,15.53
2016,1,19.68,48.8,394.5,71.44,13.22
2016,2,23.82,39.63,394.77,56.14,8.99
2016,3,25.07,32.25,394.77,64.88,11.78
2016,4,24.58,49.84,394.76,70.17,9.44
2016,5,24.61,24.83,394.8,56.75,11.82
2016,6,28.47,27.41,394.92,65.14,13.52
2016,7,30.67,40.99,395.06,56.31,8.75
2016,8,25.47,27.18,395.04,66.29,9.47
2016,9,28.66,60.13,395.49,56.9,14.82
2016,10,24.95,72.91,395.54,64.8,10.96
2016,11,22.23,40.06,395.83,64.99,14.4
2016,12,22.44,22.96,395.78,55.23,8.34
2017,1,22.35,32.15,397.16,56.72,13.88
2017,2,23.6,51.63,396.88,66.02,11.05
2017,3,23.68,54.41,397.38,61.02,12.59
2017,4,25.61,49.6,397.46,58.78,8.9
2017,5,26.9,26.28,397.19,55.73,7.02
2017,6,26.72,43.75,397.36,59.32,13.36
2017,7,29.14,38.16,397.66,75.25,14.09
2017,8,27.7,46.45,397.9,63.78,11.9
2017,9,26.83,74.34,397.95,55.64,8.49
2017,10,23.92,67.96,397.93,60.64,8.12
2017,11,25.06,65.99,398.23,65.51,11.44
2017,12,20.65,21.59,398.09,61.41,9.25
2018,1,19.71,58.48,399.48,67.23,15.56
2018,2,25.8,46.89,399.3,54.93,13.81
2018,3,23.83,46.06,399.74,58.17,12.27
2018,4,25.75,39.67,399.44,62.0,10.0
2018,5,26.95,54.31,399.66,69.95,9.59
2018,6,29.49,52.54,399.89,64.46,9.83
2018,7,27.01,58.81,399.92,65.84,15.89
2018,8,27.88,41.7,400.04,58.31,10.26
2018,9,27.44,63.02,400.32,58.68,11.94
2018,10,27.39,55.52,400.4,56.79,15.76
2018,11,24.61,47.57,400.24,66.67,11.97
2018,12,20.72,59.69,400.73,64.61,8.06
2019,1,23.86,39.94,401.82,65.7,9.46
2019,2,24.87,59.21,401.69,66.68,10.45
2019,3,26.36,40.33,402.12,73.87,9.49
2019,4,26.62,36.6,402.26,65.68,14.38
2019,5,24.78,31.94,402.19,76.97,11.41
2019,6,25.03,41.54,402.18,66.69,11.89
2019,7,27.75,32.87,402.21,70.04,12.15
2019,8,25.51,51.02,402.25,71.13,13.35
2019,9,27.74,53.44,402.67,72.88,15.83
2019,10,24.97,39.48,402.7,67.57,14.83
2019,11,26.1,55.61,402.82,64.51,13.5
2019,12,22.5,46.19,402.75,64.8,15.72
2020,1,21.1,47.71,404.18,73.59,14.67
2020,2,25.01,35.2,404.13,70.53,13.83
2020,3,26.09,21.44,404.11,68.52,15.29
2020,4,27.79,49.87,404.41,56.26,12.7
2020,5,28.09,37.75,404.65,74.78,7.41
2020,6,28.66,31.73,404.6,57.35,11.78
2020,7,28.37,51.7,404.6,55.82,14.84
2020,8,27.67,29.63,405.09,57.29,11.15
2020,9,24.62,48.21,404.74,72.51,15.11
2020,10,25.99,44.32,405.07,61.95,12.29
2020,11,24.78,54.97,405.09,73.44,8.79
2020,12,22.35,39.33,405.19,67.15,12.17
2021,1,24.76,31.81,406.75,69.14,9.47
2021,2,23.37,47.43,406.74,55.13,12.46
2021,3,23.98,56.17,406.62,72.37,12.46
2021,4,24.17,45.46,406.9,69.59,13.49
2021,5,26.89,53.53,407.01,74.78,12.82
2021,6,25.93,37.63,407.1,70.84,7.81
2021,7,26.85,49.9,407.01,57.04,11.85
2021,8,29.64,41.23,407.49,73.1,9.31
2021,9,27.82,57.27,407.54,71.17,10.05
2021,10,22.84,76.52,407.32,76.23,14.74
2021,11,25.26,77.2,407.84,72.51,10.29
2021,12,24.63,20.56,407.74,64.46,13.06
2022,1,22.97,43.38,409.07,75.63,7.98
2022,2,21.51,21.0,409.21,66.91,15.24
2022,3,22.44,22.53,409.29,74.92,9.72
2022,4,24.49,25.59,409.46,61.0,11.43
2022,5,23.74,55.49,409.17,64.43,13.03
2022,6,28.36,57.84,409.42,71.07,8.39
2022,7,27.52,23.96,409.56,63.39,15.56
2022,8,24.38,34.82,409.65,75.86,14.7
2022,9,23.76,65.43,409.81,76.49,10.23
2022,10,24.43,45.59,409.71,73.5,11.09
2022,11,24.91,63.67,410.06,54.49,14.08
2022,12,21.56,25.04,410.15,55.58,13.89
2023,1,20.36,28.64,411.49,61.56,8.33
2023,2,25.24,20.11,411.6,57.33,8.17
2023,3,22.6,26.98,411.61,54.59,7.13
2023,4,26.62,29.52,411.55,58.01,7.47
2023,5,27.35,41.04,411.87,64.95,14.0
2023,6,27.07,24.36,411.86,75.74,7.39
2023,7,29.59,54.68,411.98,64.53,15.68
2023,8,24.54,39.16,412.03,69.78,11.41
2023,9,28.29,40.94,411.98,67.99,7.59
2023,10,23.74,63.32,412.32,61.48,15.95
2023,11,24.17,56.15,412.46,56.28,13.32
2023,12,24.98,46.04,412.65,70.58,8.94
2024,1,21.73,29.14,413.63,64.43,10.74
2024,2,20.73,37.07,413.9,62.61,8.37
2024,3,26.37,22.69,414.1,56.14,7.87
2024,4,26.34,52.47,414.07,67.49,12.05
2024,5,25.05,24.89,414.08,69.3,13.75
2024,6,29.06,48.84,414.49,67.81,10.16
2024,7,28.44,28.51,414.45,59.16,7.97
2024,8,28.93,34.7,414.61,67.2,14.26
2024,9,27.93,76.98,414.75,68.11,12.78
2024,10,22.35,75.16,414.86,60.15,8.62
2024,11,25.14,50.36,414.73,54.14,14.83
2024,12,23.37,36.03,414.74,68.56,7.28
2025,1,23.38,28.61,416.07,61.84,10.33
2025,2,24.24,51.07,416.25,55.95,7.47
2025,3,22.08,44.71,416.42,60.26,12.96
2025,4,24.92,37.68,416.33,71.36,8.02
2025,5,25.61,31.33,416.64,65.19,13.0
2025,6,24.45,35.81,416.71,54.18,9.71
2025,7,26.38,25.49,416.65,61.55,7.07
2025,8,28.38,27.03,416.82,70.18,11.5
2025,9,27.87,70.25,416.78,73.82,7.38
2025,10,22.3,74.85,417.28,67.24,12.16
2025,11,25.17,54.71,417.02,54.48,9.92
2025,12,24.69,44.73,417.49,75.15,7.79
